code,lat,lon
0KS2,37.3939,-97.1515
0KS4,38.8072,-95.3701
0KS5,38.4507,-98.7976
0KS6,38.7873,-99.4401
0KS7,37.6928,-97.8864
0KS8,37.3825,-95.3747
0KS9,37.5159,-96.9198
0KY0,38.6228,-84.7789
0KY1,36.7656,-86.6183
0KY4,37.5644,-87.0819
0KY5,36.8123,-86.3774
0KY7,36.6361,-88.9986
0L4,37.4909,-117.1888
0L5,37.7221,-117.2364
0L7,35.7683,-115.3300
0L9,36.3111,-114.4640
0LA1,30.2294,-90.9734
0LA3,32.7493,-93.8735
0LA6,30.2491,-92.0855
0LA9,30.5863,-90.8615
0LL0,42.2653,-88.7278
0LL1,39.0942,-90.3134
0LL2,40.7389,-90.3807
0LL3,39.0550,-90.3421
0LL4,41.4196,-89.1214
0LL5,40.1100,-88.0784
0LL6,41.6984,-88.6076
0LS0,29.7497,-90.7358
0LS5,30.3038,-92.1305
0LS6,30.7877,-92.0504
0LS7,30.6128,-91.4842
0LS8,30.2858,-92.9413
0LS9,32.5136,-91.9866
0M0,33.8848,-91.5345
0M2,36.4753,-89.3462
0M3,35.5460,-87.5973
0M4,36.0111,-88.1233
0M5,36.1166,-87.7382
0M8,32.8259,-91.1877
0M9,32.4107,-91.4987
0MD1,39.1873,-75.7927
0MD2,38.2878,-76.8676
0MD4,39.2668,-76.1872
0MD6,39.3812,-77.1058
0ME4,44.7425,-68.4744
0ME7,43.8397,-70.4620
0MI1,44.1403,-84.4375
0MI3,44.6334,-84.4834
0MI4,46.2702,-87.3865
0MI6,46.3875,-85.1840
0MI8,44.8941,-84.2978
0MN0,44.7969,-92.9841
0MN2,46.1333,-93.0030
0MN3,46.6778,-94.2925
0MN4,46.4772,-94.3031
0MN6,46.6653,-94.1250
0MN8,44.7647,-95.6254
0MO0,38.4103,-93.8502
0MO1,38.5465,-94.0966
0MO2,37.7867,-90.7801
0MO5,40.1334,-92.1002
0MO6,40.0763,-92.3194
0MO8,39.1406,-90.7368
0MS0,32.4750,-88.6167
0MS2,31.5418,-89.3917
0MS7,30.4021,-89.3254
0MS8,33.6954,-91.1635
0MS9,33.8007,-89.0273
0MT1,47.4975,-112.3910
0MT4,46.2786,-114.1410
0MT5,45.6338,-108.8482
0MT6,48.0376,-114.6745
0MT7,47.6608,-115.4040
0MT9,48.4812,-114.4817
0MU0,37.2347,-91.0936
0MU1,37.2467,-94.1739
0MU4,39.6161,-92.8669
0MU7,38.8750,-94.1397
0MU8,37.4387,-89.7590
0MU9,37.3379,-93.1641
0N0,39.2911,-94.4422
0N4,39.2023,-75.4855
0N6,39.0126,-75.5335
0NA1,46.2454,-97.0382
0NA5,48.0011,-99.5629
0NA9,46.7500,-103.8010
0NC1,36.2581,-79.4857
0NC7,36.3648,-79.9961
0NC8,35.7557,-80.7353
0ND0,47.9292,-99.4004
0ND6,46.0550,-99.9171
0ND7,46.4653,-100.1050
0NE0,41.8500,-101.9500
0NE1,42.4072,-101.9320
0NE6,40.4333,-98.0706
0NE9,40.8678,-97.3540
0NJ5,40.8859,-74.7057
0NJ6,39.3168,-74.6329
0NK0,42.3340,-78.7909
0NK1,43.3617,-76.2202
0NK2,42.9834,-74.0162
0NK3,42.6957,-77.7925
0NK6,42.4384,-76.0893
0NM0,31.8239,-107.6299
0NM7,33.5279,-108.5410
0NY0,43.6930,-73.9780
0NY1,43.1392,-73.6532
0NY3,43.3140,-74.9321
0NY7,43.0266,-74.1771
0NY8,42.9973,-74.2454
0O0,37.0583,-121.1260
0O2,35.2871,-116.0817
0O4,39.9446,-122.1709
0O9,41.8457,-123.9850
0OH5,40.5968,-82.4317
0OH6,39.6006,-84.0197
0OH8,40.1884,-84.2561
0OI2,39.3598,-83.4177
0OI3,41.3821,-82.7161
0OI6,41.8381,-80.6437
0OI9,38.8945,-83.1135
0OK1,34.6570,-97.4017
0OK2,36.6112,-96.0979
0OK3,35.6145,-98.5344
0OK4,34.6606,-96.2536
0OK5,35.8889,-97.4003
0OK6,35.8017,-97.3861
0OK8,34.6142,-98.0233
0OR3,42.0190,-121.7040
0OR6,42.8340,-117.6290
0OR7,44.8540,-123.2640
0OR8,42.4846,-122.8664
0OR9,45.5926,-121.5490
0P1,39.8321,-99.5688
0P2,39.7952,-76.6477
0PA0,40.3312,-75.2481
0PA2,40.3168,-77.1247
0PA3,41.7473,-76.7606
0PA4,40.2376,-76.7247
0PA5,41.4945,-79.8309
0PA6,40.6309,-77.8503
0PN0,41.4419,-80.1554
0PN1,40.6994,-79.6189
0PN2,41.0731,-80.0703
0PN4,40.4129,-77.2414
0PN5,41.7792,-79.5984
0PN6,40.1690,-77.9925
0PN7,40.1283,-77.6314
0PN8,41.6064,-79.6842
0PS0,41.3709,-79.3417
0PS3,40.4904,-76.7666
0PS4,41.0097,-78.5618
0PS7,40.5224,-76.8463
0Q3,38.2235,-122.4500
0Q4,36.5816,-119.6580
0Q5,40.0282,-124.0743
0Q9,38.2577,-122.4340
0R0,31.2970,-89.8128
0R1,31.0162,-87.4468
0R2,38.4039,-93.3330
0R4,31.5620,-91.5065
0R5,31.9637,-92.6603
0R6,33.5226,-92.4603
0R7,31.9907,-93.3074
0S0,46.9768,-118.5870
0S1,47.8480,-113.4168
0S5,46.2386,-116.2386
0S7,48.9590,-119.4120
0S9,48.0538,-122.8110
0SD0,45.4250,-100.8920
0SD1,42.9720,-96.9799
0SD3,45.2694,-103.2170
0SD7,43.5243,-101.7347
0SD8,43.7828,-100.2930
0TA2,34.2137,-101.9233
0TA4,32.4979,-96.2705
0TA7,30.1532,-103.8998
0TA8,30.6699,-99.3317
0TE0,29.6930,-101.1620
0TE4,31.0810,-96.2152
0TE5,27.4338,-99.1859
0TE6,32.2043,-98.6656
0TE7,30.2518,-98.6225
0TN0,35.6767,-86.8967
0TN1,35.2223,-86.2200
